store_name,sale_dollars,perc of sales
Bootleggin' Barzini's Fin,6.75,0.00011017497745085462
Hy-Vee Wine and Spirits / Waterloo,7.0,0.00011425553217125666
Double D Liquor Store,9.74,0.00015897841190686283
Food Land Super Markets,13.26,0.0002164326223701233
Hy-Vee Drugstore / Council Bluffs,17.82,0.0002908619404702562
Famous Liquors,17.98,0.0002934734954913135
Hilltop Grocery,18.9,0.00030848993686239296
Pump N Pak,21.0,0.00034276659651376996
Hy-Vee Food Store / Fairfield,21.78,0.0003554979272414243
Hy-Vee Wine and Spirits / Atlantic,23.04,0.00037606392303225045
Fareway Stores #409 / Carroll,32.52,0.0005307985580298953
Hy-Vee Wine and Spirits / Storm Lake,33.0,0.0005386332230930671
Tobacco Hut #14 / Council Bluffs,33.24,0.000542550555624653
Liquor Locker,37.5,0.0006120832080603035
Sid's Beverage Shop,41.55,0.0006781881945308162
CVS Pharmacy #8526 / Cedar Rapids,42.0,0.0006855331930275399
Nash Finch / Wholesale Food,45.72,0.000746251847267122
"Iowa Street Market, Inc.",50.36,0.0008219869428777836
Logan Convenience Store,63.36,0.0010341757883386888
Hy-Vee Food Store / Johnston,64.32,0.0010498451184650325
Speedy Gas N Shop,68.18,0.00111284888334804
Hy-Vee Wine and Spirits / Hubbell,70.56,0.001151695764286267
Fareway Stores #597 / Creston,71.25,0.0011629580953145767
The Ox & Wren Spirits and Gifts,75.12,0.0012261250823864
Hy-Vee Food Store / Marshalltown,75.54,0.0012329804143166754
New Star Liquor / W 4th S / Waterloo,80.49000000000001,0.0013137753977806356
Quik Stop  /  Burlington,81.6,0.0013318930607392203
Fareway Stores #412 / Oelwein,105.04,0.0017144858713241142
Depot Liquor & Grocery,112.47,0.0018357599576144623
I-80 Liquor / Council Bluffs,174.24,0.0028439834179313944
Shop N Save #1 / Mlk Pkwy,187.2,0.003055519374637035
East Side Liquor and Groceries,206.64,0.0033728233096954963
Burlington Shell,206.64,0.0033728233096954963
"Ray's Supermarket, Inc.",206.64,0.0033728233096954963
Quicker Liquor Store,237.24,0.003872283207472704
Hy-Vee Food and Drug / Clinton,282.24,0.004606783057145068
Osage Payless Foods,324.0,0.005288398917641022
Hy-Vee Wine and Spirits / Spirit Lake,324.96,0.005304068247767366
Tequila's Liquor Store,413.28,0.006745646619390993
Hy-Vee #7 / Cedar Rapids,486.0,0.007932598376461533
Hy-Vee Food Store / Coralville,504.0,0.008226398316330479
Sam's Club 8162 / Cedar Rapids,691.2,0.011281917690967515
Hy-Vee Wine and Spirits / Iowa City,706.3199999999999,0.011528709640457427
Hy-Vee Food Store / Carroll,737.46,0.012036983536430705
Hy-Vee Food Store #3 / Waterloo,807.84,0.013185741301318282
Hy-Vee Food Store #1 / Mason City,900.24,0.01469391432597887
Fareway Stores #983 / Grimes,1296.0,0.021153595670564088
Fareway Stores #153  /  W Des Moines,1349.28,0.02202324349257617
Fareway Stores #067 / Evansdale,1349.4,0.02202520215884196
Hy-Vee / Waukee,1518.72,0.024788880259875842
Hy-Vee Food Store / Fort Dodge,1563.84,0.025525338775813998
Hy-Vee Food Store #2 / Waterloo,1992.15,0.03251630834499556
Fareway Stores #138 / Pleasant Hill,2295.0,0.03745949233329057
Central City 2,2580.6,0.04212111804587784
Hy-Vee Wine and Spirits / WDM,3372.3,0.05504341873444697
Cedar Ridge Vineyards,3712.5,0.060596237597970046
Sam's Club 6568 / Ames,3913.92,0.06388385892510355
Hy-Vee #3 / BDI / Des Moines,4124.04,0.06731348355650704
Sam's Club 6514 / Waterloo,5199.36,0.08486509196427786
Sam's Club 6432 / Sioux City,6641.040000000001,0.10839650848151462
Wilkie Liquors,11620.8,0.1896772411793913
